R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
7239-7,FONDO DE INVERSION LARRAIN VIAL DOVER,No Rescatable,76081215-3,24/02/2012,26/02/2013
9710-1,FONDO DE INVERSION LARRAIN VIAL FINANCIAMIENTO ESTRUCTURADO PERU,No Rescatable,76081215-3,22/01/2019,28/01/2019
7196-K,FONDO DE INVERSION LARRAIN VIAL HARBOURVEST EX-US,No Rescatable,76081215-3,7/10/2010,28/07/2011
7197-8,FONDO DE INVERSION LARRAIN VIAL HARBOURVEST-US,No Rescatable,76081215-3,7/10/2010,28/07/2011
9089-1,FONDO DE INVERSION LATAM CORPORATE HIGH YIELD,No Rescatable,96767630-6,12/11/2014,10/12/2014
7219-2,FONDO DE INVERSION LV - PATIO RENTA INMOBILIARIA I,No Rescatable,76081215-3,10/6/2011,10/6/2011
9661-K,FONDO DE INVERSION MARKETPLUS EMERGENTE,No Rescatable,96767630-6,27/09/2018,19/10/2018
9333-5,FONDO DE INVERSION MARKETPLUS ESTADOS UNIDOS,No Rescatable,96767630-6,10/6/2016,12/9/2016
9606-7,FONDO DE INVERSION MARKETPLUS EUROPA,No Rescatable,96767630-6,25/04/2018,18/05/2018
9332-7,FONDO DE INVERSION MARKETPLUS GLOBAL,No Rescatable,96767630-6,10/6/2016,12/9/2016
9695-4,FONDO DE INVERSION NEORENTAS NORTH COLONY CINCO,No Rescatable,76122579-0,1/12/2018,11/12/2018
9588-5,FONDO DE INVERSION NEORENTAS NORTH COLONY CUATRO,No Rescatable,76122579-0,9/3/2018,29/10/2018
9090-5,FONDO DE INVERSION NEVASA HMC ARES SPECIAL SITUATIONS IV-GLOBAL DISTRESSED DEBT,No Rescatable,76034728-0,15/11/2014,20/03/2015
7244-3,FONDO DE INVERSION NEVASA HMC CIP VI,No Rescatable,76034728-0,7/5/2012,26/07/2012
9214-2,FONDO DE INVERSION NEVASA HMC CIP VII GLOBAL SECONDARIES,No Rescatable,76034728-0,17/07/2015,15/09/2015
9230-4,FONDO DE INVERSION NEVASA HMC CIP VII GLOBAL SECONDARIES II,No Rescatable,76034728-0,16/09/2015,21/01/2016
9657-1,FONDO DE INVERSION NEVASA HMC CIP VIII,No Rescatable,76034728-0,1/9/2018,
7280-K,FONDO DE INVERSION NEVASA HMC CVC,No Rescatable,76034728-0,23/10/2013,17/02/2014
7228-1,FONDO DE INVERSION NEVASA HMC PNTN,No Rescatable,76034728-0,3/11/2011,18/07/2012
9708-K,FONDO DE INVERSION NEVASA HMC THOMSON REUTERS PRIVATE EQUITY BUYOUT INDEX FUND,No Rescatable,76034728-0,18/01/2019,
9629-6,FONDO DE INVERSION PENTA LAS AMERICAS INFRAESTRUCTURA CUATRO,No Rescatable,96632170-9,30/06/2018,19/11/2018
9700-4,FONDO DE INVERSION PENTA LAS AMERICAS PARQUES CEMENTERIOS DOS,No Rescatable,96632170-9,20/12/2018,29/01/2019
9652-0,FONDO DE INVERSION PRE-IPO OPPORTUNITIES MVP,No Rescatable,76034728-0,21/08/2018,29/08/2018
7160-9,FONDO DE INVERSION PRIME - INFRAESTRUCTURA II,No Rescatable,96690790-8,27/10/2008,15/04/2010
7075-0,FONDO DE INVERSION PRIME- INFRAESTRUCTURA,No Rescatable,96690790-8,27/08/2002,25/08/2003
7221-4,FONDO DE INVERSION PÚBLICO PENTA LAS AMÉRICAS INFRAESTRUCTURA TRES,No Rescatable,96632170-9,1/7/2011,5/9/2011
9188-K,FONDO DE INVERSION RENTAS HABITACIONALES,No Rescatable,96767630-6,23/05/2015,28/01/2016
7234-6,FONDO DE INVERSION RENTAS INMOBILIARIAS I,No Rescatable,96767630-6,22/12/2011,27/01/2012
7119-6,FONDO DE INVERSION SANTANDER SMALL CAP,No Rescatable,96667040-1,17/10/2006,22/12/2006
9098-0,FONDO DE INVERSION SECURITY CAPITAL PREFERENTE,No Rescatable,96639280-0,3/12/2014,3/12/2014
9344-0,FONDO DE INVERSION SECURITY CAPITAL PREFERENTE II,No Rescatable,96639280-0,13/07/2016,25/08/2016
9127-8,FONDO DE INVERSION SECURITY HY CHILE,No Rescatable,96639280-0,7/1/2015,6/1/2015
7252-4,FONDO DE INVERSION SECURITY OAKTREE OPPORTUNITIES-DEBT,No Rescatable,96639280-0,31/07/2012,21/03/2013
9573-7,FONDO DE INVERSION SECURITY OAKTREE REAL ESTATE INCOME FUND,No Rescatable,96639280-0,18/01/2018,18/01/2018
7270-2,FONDO DE INVERSION SURA RENTA INMOBILIARIA,No Rescatable,76036521-1,11/7/2013,27/01/2014
9697-0,FONDO DE INVERSION SURA RENTA INMOBILIARIA III,No Rescatable,76036521-1,7/12/2018,22/01/2019
9031-K,FONDO DE INVERSION USA EQUITY,No Rescatable,96767630-6,13/11/2013,13/11/2013
9273-8,FONDO DE INVERSION WEG-1,No Rescatable,76503272-5,16/12/2015,1/2/2016
9465-K,FONDO DE INVERSION WEG-2,No Rescatable,76503272-5,14/06/2017,14/09/2017
9584-2,FONDO DE INVERSION WEG-3,No Rescatable,76503272-5,21/02/2018,8/8/2018
9565-6,FONDO DE INVERSIÓN - INDEPENDENCIA CORE US I,No Rescatable,76800115-4,28/12/2017,27/07/2018
9351-3,FONDO DE INVERSIÓN ACTIVA DEUDA AUTOMOTRIZ GLOBAL,No Rescatable,76081215-3,30/07/2016,12/8/2016
7182-K,FONDO DE INVERSIÓN ACTIVA DEUDA HIPOTECARIA CON SUBSIDIO HABITACIONAL I,No Rescatable,76081215-3,27/05/2010,7/7/2010
9082-4,FONDO DE INVERSIÓN ACTIVA DEUDA HIPOTECARIA CON SUBSIDIO HABITACIONAL II,No Rescatable,76081215-3,11/10/2014,17/10/2014
9650-4,FONDO DE INVERSIÓN ACTIVA DEUDA PRIVADA PERÚ,No Rescatable,76081215-3,17/08/2018,29/10/2018
9219-3,FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO,No Rescatable,76081215-3,31/07/2015,20/08/2015
9514-1,FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO INMOBILIARIO I,No Rescatable,76081215-3,14/09/2017,30/11/2017
9581-8,FONDO DE INVERSIÓN ACTIVA LEASING HABITACIONAL Y DEUDA HIPOTECARIA,No Rescatable,76081215-3,2/2/2018,8/3/2018
9295-9,FONDO DE INVERSIÓN ADV VIII,No Rescatable,76429904-3,5/2/2016,21/09/2016
9603-2,FONDO DE INVERSIÓN ALTAMAR GALDANA VENTURES II,No Rescatable,76429904-3,25/04/2018,6/8/2018
9164-2,FONDO DE INVERSIÓN ALTAMAR PRIVATE EQUITY VIII,No Rescatable,76429904-3,26/03/2015,12/6/2015
9380-7,FONDO DE INVERSIÓN ALTIS – LS X 1,No Rescatable,76551925-K,17/09/2016,26/01/2017
9742-K,FONDO DE INVERSIÓN ALTIS –ADVENT GPE IX,No Rescatable,76551925-K,23/04/2019,
9671-7,FONDO DE INVERSIÓN BARING ASIA PRIVATE EQUITY FUND VII,No Rescatable,76081215-3,19/10/2018,7/5/2019
9141-3,FONDO DE INVERSIÓN BCI DESARROLLO INMOBILIARIO IX,No Rescatable,96530900-4,8/1/2015,7/1/2015
9136-7,FONDO DE INVERSIÓN BCI DESARROLLO INMOBILIARIO X,No Rescatable,96530900-4,8/1/2015,7/1/2015
9555-9,FONDO DE INVERSIÓN BCI DESARROLLO INMOBILIARIO XI,No Rescatable,96530900-4,9/12/2017,5/1/2018
9736-5,FONDO DE INVERSIÓN BCI DESARROLLO INMOBILIARIO XII,No Rescatable,96530900-4,4/4/2019,
9684-9,FONDO DE INVERSIÓN BCI LMV II.,No Rescatable,96530900-4,17/11/2018,28/11/2018
9531-1,FONDO DE INVERSIÓN BCI NV,No Rescatable,96530900-4,2/11/2017,4/6/2018
9138-3,FONDO DE INVERSIÓN BCI RENTAS III,No Rescatable,96530900-4,8/1/2015,7/1/2015
9168-5,FONDO DE INVERSIÓN CAPITAL ADVISORS REAL ESTATE OFFICE US II,No Rescatable,76435792-2,16/04/2015,10/8/2015
9140-5,FONDO DE INVERSIÓN COMERCIALIZADOR DE ERNC I,No Rescatable,96530900-4,8/1/2015,7/1/2015
9567-2,FONDO DE INVERSIÓN CREDICORP CAPITAL - PRIVATE DEBT II,No Rescatable,99549940-1,9/1/2018,22/02/2019
7264-8,FONDO DE INVERSIÓN CREDICORP CAPITAL INMOBILIARIO – ACONCAGUA II,No Rescatable,99549940-1,27/03/2013,18/04/2013
9542-7,FONDO DE INVERSIÓN CREDICORP CAPITAL INMOBILIARIO – ACONCAGUA III,No Rescatable,99549940-1,18/11/2017,22/12/2017
9653-9,FONDO DE INVERSIÓN CREDICORP CAPITAL PARTNERS FUND SICAV,No Rescatable,99549940-1,24/08/2018,29/10/2018
9680-6,FONDO DE INVERSIÓN CREDICORP CAPITAL PG PRIVATE DEBT I,No Rescatable,99549940-1,10/11/2018,
9216-9,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE DEBT I,No Rescatable,99549940-1,29/07/2015,14/10/2015
7248-6,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY AP I,No Rescatable,99549940-1,4/6/2012,10/9/2013
7183-8,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG DIRECT I,No Rescatable,99549940-1,31/05/2010,23/09/2010
7276-1,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG DIRECT II,No Rescatable,99549940-1,7/8/2013,25/02/2014
7216-8,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES I,No Rescatable,99549940-1,27/05/2011,31/05/2012
9170-7,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II,No Rescatable,99549940-1,28/04/2015,24/09/2015
9185-5,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II FULLY FUNDED,No Rescatable,99549940-1,7/5/2015,7/5/2015
9377-7,FONDO DE INVERSIÓN CREDICORP CAPITAL RENTA RESIDENCIAL I,No Rescatable,99549940-1,10/9/2016,10/11/2016
9314-9,FONDO DE INVERSIÓN CREDICORP CAPITAL – AIX FULLY FUNDED,No Rescatable,99549940-1,12/4/2016,26/07/2016
9359-9,FONDO DE INVERSIÓN CREDICORP CAPITAL – PG DIRECT III,No Rescatable,99549940-1,6/8/2016,23/11/2016
9387-4,FONDO DE INVERSIÓN DESARROLLO INMOBILIARIO ESPAÑA UNO,No Rescatable,96576660-k,30/09/2016,5/10/2016
9566-4,FONDO DE INVERSIÓN DESARROLLO Y RENTAS RESIDENCIALES,No Rescatable,96767630-6,29/12/2017,23/01/2018
9318-1,FONDO DE INVERSIÓN DEUDA GLOBAL,No Rescatable,96767630-6,30/04/2016,13/06/2016
9458-7,FONDO DE INVERSIÓN DRAKE REAL ESTATE PARTNERS FUND III,No Rescatable,76081215-3,6/6/2017,31/10/2017
9403-K,FONDO DE INVERSIÓN EUROAMERICA DESCUENTO,No Rescatable,77750920-9,2/12/2016,5/12/2016
9512-5,FONDO DE INVERSIÓN EUROAMERICA PROPERTY I,No Rescatable,77750920-9,9/9/2017,2/10/2017
9720-9,FONDO DE INVERSIÓN FALCOM DEUDA PRIVADA,No Rescatable,76507811-3,26/02/2019,16/04/2019
9509-5,FONDO DE INVERSIÓN FALCOM GTCR PRIVATE EQUITY XII,No Rescatable,76507811-3,29/08/2017,22/02/2018
9423-4,FONDO DE INVERSIÓN FALCOM PORTFOLIO ADVISORS PRIVATE DEBT II,No Rescatable,76507811-3,16/02/2017,12/5/2017
9420-K,FONDO DE INVERSIÓN FALCOM SMALL CAP CHILE,No Rescatable,76507811-3,24/01/2017,14/07/2017
9315-7,FONDO DE INVERSIÓN FYNSA ENERGIA,No Rescatable,76071197-7,15/04/2016,22/04/2016
9390-4,FONDO DE INVERSIÓN FYNSA RENTA FIJA PRIVADA I,No Rescatable,76071197-7,8/10/2016,25/10/2016
9641-5,FONDO DE INVERSIÓN FYNSA RENTA FIJA PRIVADA PERÚ,No Rescatable,76071197-7,2/8/2018,3/10/2018
9283-5,FONDO DE INVERSIÓN FYNSA RENTA INMOBILIARIA I,No Rescatable,76071197-7,13/01/2016,15/01/2016
9323-8,FONDO DE INVERSIÓN HMC IFB CAPITAL PREFERENTE II,No Rescatable,76034728-0,17/05/2016,23/08/2016
9404-8,FONDO DE INVERSIÓN HMC INMOBILIARIO PERÚ II,No Rescatable,76034728-0,3/12/2016,12/5/2017
9740-3,FONDO DE INVERSIÓN HMC MEZZANINE INMOBILIARIO III,No Rescatable,76034728-0,18/04/2019,
9236-3,FONDO DE INVERSIÓN HPH I,No Rescatable,76081215-3,21/09/2015,19/01/2016
9701-2,FONDO DE INVERSIÓN HPH II,No Rescatable,76081215-3,22/12/2018,
9563-K,FONDO DE INVERSIÓN INDEPENDENCIA ONE UNION CENTER,No Rescatable,76800115-4,22/12/2017,22/12/2017
7007-6,FONDO DE INVERSIÓN INMOBILIARIA CREDICORP CAPITAL RAÍCES,No Rescatable,99549940-1,5/6/1992,21/07/1992
9589-3,FONDO DE INVERSIÓN INMOBILIARIO IX,No Rescatable,96767630-6,17/03/2018,26/04/2018
9749-7,FONDO DE INVERSIÓN INMOBILIARIO X,No Rescatable,96767630-6,15/05/2019,
9602-4,FONDO DE INVERSIÓN LARRAINVIAL DESARROLLO INMOBILIARIO I,No Rescatable,96955500-K,5/4/2018,6/6/2018
9753-5,FONDO DE INVERSIÓN LARRAINVIAL DESARROLLO INMOBILIARIO II,No Rescatable,96955500-K,18/05/2019,
9469-2,FONDO DE INVERSIÓN LARRAINVIAL DEUDA PRIVADA,No Rescatable,96955500-K,23/06/2017,4/9/2017
9698-9,FONDO DE INVERSIÓN LARRAINVIAL RENTAS RESIDENCIALES,No Rescatable,96955500-K,14/12/2018,17/01/2019
9398-K,FONDO DE INVERSIÓN LARRAINVIAL SERENDIP,No Rescatable,96955500-K,16/11/2016,22/12/2016
9658-K,FONDO DE INVERSIÓN LARRAINVIAL SMALL CAP CHILE,No Rescatable,96955500-K,14/09/2018,29/10/2018
9694-6,FONDO DE INVERSIÓN LARRAÍN VIAL APOLLO HYBRID VALUE,No Rescatable,76081215-3,28/11/2018,20/12/2018
9703-9,FONDO DE INVERSIÓN LARRAÍN VIAL DEUDA AUTOMOTRIZ PERÚ,No Rescatable,76081215-3,28/12/2018,11/1/2019
9670-9,FONDO DE INVERSIÓN LARRAÍN VIAL FIBRA III,No Rescatable,76081215-3,19/10/2018,
9726-8,FONDO DE INVERSIÓN LARRAÍN VIAL HARBOURVEST CO-INVESTMENT V,No Rescatable,76081215-3,2/3/2019,
9562-1,FONDO DE INVERSIÓN LARRAÍN VIAL LANDMARK EQUITY XVI,No Rescatable,76081215-3,22/12/2017,6/12/2018
9446-3,FONDO DE INVERSIÓN LARRAÍN VIAL LANDMARK REAL ESTATE VIII,No Rescatable,76081215-3,20/04/2017,11/7/2017
9386-6,FONDO DE INVERSIÓN LARRAÍN VIAL MARATHON ECO III,No Rescatable,76081215-3,24/09/2016,4/7/2017
9639-3,FONDO DE INVERSIÓN LARRAÍN VIAL MÉXICO MEZZANINE,No Rescatable,76081215-3,20/07/2018,26/09/2018
9598-2,FONDO DE INVERSIÓN LARRAÍN VIAL NEWFOUNDLAND ARGENTINA,No Rescatable,76081215-3,3/4/2018,2/4/2018
9574-5,FONDO DE INVERSIÓN LARRAÍN VIAL PAI PARTNERS EUROPE VII,No Rescatable,76081215-3,20/01/2018,
9618-0,FONDO DE INVERSIÓN LARRAÍN VIAL TSEV VIII,No Rescatable,76081215-3,7/6/2018,17/07/2018
9732-2,FONDO DE INVERSIÓN LINK CAPITAL PARTNERS PG DIRECT 2019,No Rescatable,76963034-1,23/03/2019,
9433-1,FONDO DE INVERSIÓN NEORENTAS NORTH COLONY DOS,No Rescatable,76122579-0,10/3/2017,14/03/2017
9313-0,FONDO DE INVERSIÓN NEVASA HMC PEARL DIVER V,No Rescatable,76034728-0,12/4/2016,27/04/2016
9508-7,FONDO DE INVERSIÓN NEVASA HMC PEARL DIVER VII,No Rescatable,76034728-0,29/08/2017,25/10/2017
9088-3,FONDO DE INVERSIÓN NUEVA ENERGÍA I,No Rescatable,76081215-3,7/11/2014,12/1/2015
9611-3,FONDO DE INVERSIÓN OLIVE TREE VENTURES I,No Rescatable,76081215-3,4/5/2018,12/7/2018
9737-3,FONDO DE INVERSIÓN PENTA LAS AMÉRICAS INFRAESTRUCTURA CINCO,No Rescatable,96632170-9,12/4/2019,
9131-6,FONDO DE INVERSIÓN PROVEEDORES COPEVAL,No Rescatable,76081215-3,8/1/2015,7/1/2015
9080-8,FONDO DE INVERSIÓN PÚBLICO PENTA LAS AMÉRICAS INFRAESTRUCTURA DOS,No Rescatable,96632170-9,2/10/2014,1/10/2014
9754-3,FONDO DE INVERSIÓN SANTANDER DEUDA PRIVADA,No Rescatable,96667040-1,18/05/2019,
9750-0,FONDO DE INVERSIÓN SARTOR MID MALL,No Rescatable,76576607-9,16/05/2019,
9241-K,FONDO DE INVERSIÓN SECURITY DEBT OPPORTUNITIES,No Rescatable,96639280-0,7/10/2015,22/12/2015
9122-7,FONDO DE INVERSIÓN SECURITY INMOBILIARIO II,No Rescatable,96639280-0,7/1/2015,6/1/2015
9146-4,FONDO DE INVERSIÓN SECURITY OAKTREE OPPORTUNITIES - DEBT II,No Rescatable,96639280-0,6/2/2015,13/07/2015
9266-5,FONDO DE INVERSIÓN SECURITY OAKTREE OPPORTUNITIES II B,No Rescatable,96639280-0,2/12/2015,27/11/2017
9227-4,FONDO DE INVERSIÓN SECURITY OAKTREE REAL ESTATE OPPORTUNITIES FUND VII,No Rescatable,96639280-0,22/08/2015,6/12/2016
9724-1,FONDO DE INVERSIÓN SECURITY PANTHEON PGCO IV,No Rescatable,96639280-0,1/3/2019,
9242-8,FONDO DE INVERSIÓN SECURITY PRINCIPAL SPECIAL SITUATIONS,No Rescatable,96639280-0,7/10/2015,17/11/2015
9729-2,FONDO DE INVERSIÓN SECURITY RENTAS INMOBILIARIAS I,No Rescatable,96639280-0,19/03/2019,
9425-0,FONDO DE INVERSIÓN SURA AM DESARROLLO INMOBILIARIO PROYECTOS CHILE,No Rescatable,76036521-1,22/02/2017,21/04/2017
9669-5,FONDO DE INVERSIÓN SURA DEUDA LATAM UF,No Rescatable,76036521-1,13/10/2018,7/1/2019
9528-1,FONDO DE INVERSIÓN SURA RENTA INMOBILIARIA II,No Rescatable,76036521-1,12/10/2017,14/12/2017
9163-4,FONDO DE INVERSIÓN TPL INVESTMENT CHILE,No Rescatable,76081215-3,26/03/2015,10/4/2015
9616-4,FONDO DE INVERSIÓN UNITED STATES PROPERTY FUND VI,No Rescatable,96767630-6,19/05/2018,19/07/2018
9142-1,FONDO DE INVERSIÓN VIZCACHITAS,No Rescatable,96530900-4,8/1/2015,7/1/2015
9157-K,FONDO DEL INVERSIÓN CREDICORP CAPITAL TIERRAS DEL SUR,No Rescatable,99549940-1,7/3/2015,7/3/2015
9396-3,FONDO INVERSION RETORNO PREFERENTE FUNDAMENTA PLAZA EGANA,No Rescatable,76543031-3,10/11/2016,16/11/2016
9711-K,FRONTAL TRUST DEUDA PRIVADA MIXTA FONDO DE INVERSIÓN,No Rescatable,76543031-3,23/01/2019,23/04/2019
9513-3,FRONTAL TRUST FUNDAMENTA DESARROLLO INMOBILIARIO XIII FONDO DE INVERSIÓN,No Rescatable,76543031-3,9/9/2017,11/10/2017
9664-4,FRONTAL TRUST INFRAESTRUCTURA ALPHA FONDO DE INVERSIÓN,No Rescatable,76543031-3,6/10/2018,4/2/2019
9515-K,FRONTAL TRUST REAL ESTATE USA I FONDO DE INVERSIÓN,No Rescatable,76543031-3,14/09/2017,18/10/2017
9516-8,FRONTAL TRUST REAL ESTATE USA II FONDO DE INVERSIÓN,No Rescatable,76543031-3,14/09/2017,18/10/2017
9406-4,FRONTAL TRUST SURMONTE II FONDO DE INVERSIÓN,No Rescatable,76543031-3,9/12/2016,22/12/2016
7193-5,LINZOR BICE PRIVATE EQUITY II FONDO DE INVERSION,No Rescatable,96514410-2,6/8/2010,20/07/2011
9530-3,MBI DEUDA PRIVADA FONDO DE INVERSIÓN,No Rescatable,99543100-9,25/10/2017,8/11/2017
9120-0,MBI-BP DEUDA FONDO DE INVERSION,No Rescatable,99543100-9,6/1/2015,5/1/2015
9186-3,MONEDA - CARLYLE III FONDO DE INVERSIÓN,No Rescatable,96684990-8,14/05/2015,13/08/2015
9343-2,MONEDA - CARLYLE V FONDO DE INVERSIÓN,No Rescatable,96684990-8,7/7/2016,3/1/2017
9526-5,MONEDA CARLYLE VIII FONDO DE INVERSION,No Rescatable,96684990-8,6/10/2017,19/12/2018
9617-2,MONEDA CARLYLE XI FONDO DE INVERSION,No Rescatable,96684990-8,24/05/2018,13/09/2018
9340-8,MONEDA CARLYLE-ALPINVEST II FONDO DE INVERSION,No Rescatable,96684990-8,25/06/2016,20/12/2016
7055-6,MONEDA DEUDA LATINOAMERICANA FONDO DE INVERSION,No Rescatable,96684990-8,23/11/1999,25/11/1999
7147-1,MONEDA LATINOAMERICA DEUDA LOCAL FONDO DE INVERSION,No Rescatable,96684990-8,28/02/2008,28/08/2009
9105-7,MONEDA PATAGONIA FONDO DE INVERSIÓN,No Rescatable,96684990-8,13/12/2014,23/12/2014
7099-8,MONEDA RENTA CLP FONDO DE INVERSION,No Rescatable,96684990-8,3/6/2005,25/05/2006
7136-6,MONEDA RENTA VARIABLE CHILE FONDO DE INVERSION,No Rescatable,96684990-8,30/11/2007,27/05/2009
7135-8,MONEDA SMALL CAP LATINOAMERICA FONDO DE INVERSION,No Rescatable,96684990-8,22/11/2007,27/05/2008
7235-4,MONEDA- CARLYLE FONDO DE INVERSION,No Rescatable,96684990-8,27/12/2011,25/06/2013
9636-9,MONEDA- CARLYLE X FONDO DE INVERSION,No Rescatable,96684990-8,12/7/2018,14/02/2019
9114-6,MONEDA-CARLYLE II FONDO DE INVERSIÓN,No Rescatable,96684990-8,26/12/2014,15/05/2015
9213-4,MONEDA-CARLYLE IV FONDO DE INVERSIÓN,No Rescatable,96684990-8,14/07/2015,25/11/2015
9544-3,MONEDA-CARLYLE IX FONDO DE INVERSIÓN,No Rescatable,96684990-8,18/11/2017,21/12/2018
