R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
9466-8,VOLCOMCAPITAL EUROPE EQUITY FONDO DE INVERSIÓN,No Rescatable,76493189-0,14/06/2017,3/7/2017
9418-8,VOLCOMCAPITAL INFRAESTRUCTURA I FONDO DE INVERSION,No Rescatable,76493189-0,17/01/2017,10/2/2017
9738-1,VOLCOMCAPITAL INFRAESTRUCTURA II FONDO DE INVERSIÓN,No Rescatable,76493189-0,16/04/2019,
9633-4,VOLCOMCAPITAL MID MARKET FONDO DE INVERSION,No Rescatable,76493189-0,6/7/2018,29/01/2019
9240-1,VOLCOMCAPITAL PE SECONDARY I FONDO DE INVERSION,No Rescatable,76493189-0,3/10/2015,21/01/2016
9263-0,VOLCOMCAPITAL PE SECONDARY II FONDO DE INVERSION,No Rescatable,76493189-0,26/11/2015,1/2/2016
9643-1,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN,No Rescatable,76493189-0,11/8/2018,
9337-8,VOLCOMCAPITAL PRIVATE EQUITY I FONDO DE INVERSION,No Rescatable,76493189-0,16/06/2016,16/08/2016
9388-2,VOLCOMCAPITAL PRIVATE EQUITY II FONDO DE INVERSIÓN,No Rescatable,76493189-0,1/10/2016,17/03/2017
9441-2,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION,No Rescatable,76493189-0,4/4/2017,29/11/2018
9644-K,VOLCOMCAPITAL PRIVATE EQUITY V FONDO DE INVERSIÓN,No Rescatable,76493189-0,11/8/2018,
9723-3,VOLCOMCAPITAL PRIVATE EQUITY VI FONDO DE INVERSIÓN,No Rescatable,76493189-0,28/02/2019,
9407-2,VOLCOMCAPITAL REAL ESTATE I FONDO DE INVERSIÓN,No Rescatable,76493189-0,9/12/2016,5/7/2018
9536-2,VOLCOMCAPITAL REAL ESTATE II FONDO DE INVERSIÓN,No Rescatable,76493189-0,14/11/2017,26/01/2018
9299-1,VOLCOMCAPITAL SPECIAL SITUATIONS II FONDO DE INVERSION,No Rescatable,76493189-0,19/02/2016,9/8/2016
9645-8,VOLCOMCAPITAL SPECIAL SITUATIONS III FONDO DE INVERSIÓN,No Rescatable,76493189-0,11/8/2018,
9718-7,XLC – HPS MEZZANINE IV FONDO DE INVERSIÓN,No Rescatable,76579033-6,15/02/2019,
