,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
349,11/06/2018,03/04/2018,VOLCOMCAPITAL COINVERSIONES FONDO DE INVERSION,9599-0,76493189-0,No Rescatable
350,01/10/2018,03/04/2018,VOLCOMCAPITAL DEUDA II FONDO DE INVERSION,9600-8,76493189-0,No Rescatable
351,10/01/2019,30/08/2018,VOLCOMCAPITAL DEUDA PERU II FONDO DE INVERSION,9656-3,76493189-0,No Rescatable
352,03/01/2017,22/09/2016,VOLCOMCAPITAL DEUDA PRIVADA FONDO DE INVERSION,9384-K,76493189-0,No Rescatable
353,14/09/2017,13/07/2017,VOLCOMCAPITAL DEUDA PRIVADA PERU FONDO DE INVERSION,9483-8,76493189-0,No Rescatable
354,03/07/2017,14/06/2017,VOLCOMCAPITAL EUROPE EQUITY FONDO DE INVERSIÓN,9466-8,76493189-0,No Rescatable
355,10/02/2017,17/01/2017,VOLCOMCAPITAL INFRAESTRUCTURA I FONDO DE INVERSION,9418-8,76493189-0,No Rescatable
356,,16/04/2019,VOLCOMCAPITAL INFRAESTRUCTURA II FONDO DE INVERSIÓN,9738-1,76493189-0,No Rescatable
357,29/01/2019,06/07/2018,VOLCOMCAPITAL MID MARKET FONDO DE INVERSION,9633-4,76493189-0,No Rescatable
358,21/01/2016,03/10/2015,VOLCOMCAPITAL PE SECONDARY I FONDO DE INVERSION,9240-1,76493189-0,No Rescatable
359,01/02/2016,26/11/2015,VOLCOMCAPITAL PE SECONDARY II FONDO DE INVERSION,9263-0,76493189-0,No Rescatable
360,,11/08/2018,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN,9643-1,76493189-0,No Rescatable
361,16/08/2016,16/06/2016,VOLCOMCAPITAL PRIVATE EQUITY I FONDO DE INVERSION,9337-8,76493189-0,No Rescatable
362,17/03/2017,01/10/2016,VOLCOMCAPITAL PRIVATE EQUITY II FONDO DE INVERSIÓN,9388-2,76493189-0,No Rescatable
363,29/11/2018,04/04/2017,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION,9441-2,76493189-0,No Rescatable
364,,11/08/2018,VOLCOMCAPITAL PRIVATE EQUITY V FONDO DE INVERSIÓN,9644-K,76493189-0,No Rescatable
365,,28/02/2019,VOLCOMCAPITAL PRIVATE EQUITY VI FONDO DE INVERSIÓN,9723-3,76493189-0,No Rescatable
366,05/07/2018,09/12/2016,VOLCOMCAPITAL REAL ESTATE I FONDO DE INVERSIÓN,9407-2,76493189-0,No Rescatable
367,26/01/2018,14/11/2017,VOLCOMCAPITAL REAL ESTATE II FONDO DE INVERSIÓN,9536-2,76493189-0,No Rescatable
368,09/08/2016,19/02/2016,VOLCOMCAPITAL SPECIAL SITUATIONS II FONDO DE INVERSION,9299-1,76493189-0,No Rescatable
369,,11/08/2018,VOLCOMCAPITAL SPECIAL SITUATIONS III FONDO DE INVERSIÓN,9645-8,76493189-0,No Rescatable
370,,15/02/2019,XLC – HPS MEZZANINE IV FONDO DE INVERSIÓN,9718-7,76579033-6,No Rescatable
