,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
194,07/01/2015,08/01/2015,FONDO DE INVERSIÓN COMERCIALIZADOR DE ERNC I,9140-5,96530900-4,No Rescatable
195,22/02/2019,09/01/2018,FONDO DE INVERSIÓN CREDICORP CAPITAL - PRIVATE DEBT II,9567-2,99549940-1,No Rescatable
196,18/04/2013,27/03/2013,FONDO DE INVERSIÓN CREDICORP CAPITAL INMOBILIARIO – ACONCAGUA II,7264-8,99549940-1,No Rescatable
197,22/12/2017,18/11/2017,FONDO DE INVERSIÓN CREDICORP CAPITAL INMOBILIARIO – ACONCAGUA III,9542-7,99549940-1,No Rescatable
198,29/10/2018,24/08/2018,FONDO DE INVERSIÓN CREDICORP CAPITAL PARTNERS FUND SICAV,9653-9,99549940-1,No Rescatable
199,,10/11/2018,FONDO DE INVERSIÓN CREDICORP CAPITAL PG PRIVATE DEBT I,9680-6,99549940-1,No Rescatable
200,14/10/2015,29/07/2015,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE DEBT I,9216-9,99549940-1,No Rescatable
201,10/09/2013,04/06/2012,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY AP I,7248-6,99549940-1,No Rescatable
202,23/09/2010,31/05/2010,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG DIRECT I,7183-8,99549940-1,No Rescatable
203,25/02/2014,07/08/2013,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG DIRECT II,7276-1,99549940-1,No Rescatable
204,31/05/2012,27/05/2011,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES I,7216-8,99549940-1,No Rescatable
205,24/09/2015,28/04/2015,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II,9170-7,99549940-1,No Rescatable
206,07/05/2015,07/05/2015,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II FULLY FUNDED,9185-5,99549940-1,No Rescatable
207,10/11/2016,10/09/2016,FONDO DE INVERSIÓN CREDICORP CAPITAL RENTA RESIDENCIAL I,9377-7,99549940-1,No Rescatable
208,26/07/2016,12/04/2016,FONDO DE INVERSIÓN CREDICORP CAPITAL – AIX FULLY FUNDED,9314-9,99549940-1,No Rescatable
209,23/11/2016,06/08/2016,FONDO DE INVERSIÓN CREDICORP CAPITAL – PG DIRECT III,9359-9,99549940-1,No Rescatable
210,05/10/2016,30/09/2016,FONDO DE INVERSIÓN DESARROLLO INMOBILIARIO ESPAÑA UNO,9387-4,96576660-k,No Rescatable
211,23/01/2018,29/12/2017,FONDO DE INVERSIÓN DESARROLLO Y RENTAS RESIDENCIALES,9566-4,96767630-6,No Rescatable
212,13/06/2016,30/04/2016,FONDO DE INVERSIÓN DEUDA GLOBAL,9318-1,96767630-6,No Rescatable
213,31/10/2017,06/06/2017,FONDO DE INVERSIÓN DRAKE REAL ESTATE PARTNERS FUND III,9458-7,76081215-3,No Rescatable
214,05/12/2016,02/12/2016,FONDO DE INVERSIÓN EUROAMERICA DESCUENTO,9403-K,77750920-9,No Rescatable
215,02/10/2017,09/09/2017,FONDO DE INVERSIÓN EUROAMERICA PROPERTY I,9512-5,77750920-9,No Rescatable
216,16/04/2019,26/02/2019,FONDO DE INVERSIÓN FALCOM DEUDA PRIVADA,9720-9,76507811-3,No Rescatable
217,22/02/2018,29/08/2017,FONDO DE INVERSIÓN FALCOM GTCR PRIVATE EQUITY XII,9509-5,76507811-3,No Rescatable
218,12/05/2017,16/02/2017,FONDO DE INVERSIÓN FALCOM PORTFOLIO ADVISORS PRIVATE DEBT II,9423-4,76507811-3,No Rescatable
219,14/07/2017,24/01/2017,FONDO DE INVERSIÓN FALCOM SMALL CAP CHILE,9420-K,76507811-3,No Rescatable
220,22/04/2016,15/04/2016,FONDO DE INVERSIÓN FYNSA ENERGIA,9315-7,76071197-7,No Rescatable
221,25/10/2016,08/10/2016,FONDO DE INVERSIÓN FYNSA RENTA FIJA PRIVADA I,9390-4,76071197-7,No Rescatable
222,03/10/2018,02/08/2018,FONDO DE INVERSIÓN FYNSA RENTA FIJA PRIVADA PERÚ,9641-5,76071197-7,No Rescatable
223,15/01/2016,13/01/2016,FONDO DE INVERSIÓN FYNSA RENTA INMOBILIARIA I,9283-5,76071197-7,No Rescatable
224,23/08/2016,17/05/2016,FONDO DE INVERSIÓN HMC IFB CAPITAL PREFERENTE II,9323-8,76034728-0,No Rescatable
225,12/05/2017,03/12/2016,FONDO DE INVERSIÓN HMC INMOBILIARIO PERÚ II,9404-8,76034728-0,No Rescatable
226,,18/04/2019,FONDO DE INVERSIÓN HMC MEZZANINE INMOBILIARIO III,9740-3,76034728-0,No Rescatable
227,19/01/2016,21/09/2015,FONDO DE INVERSIÓN HPH I,9236-3,76081215-3,No Rescatable
228,,22/12/2018,FONDO DE INVERSIÓN HPH II,9701-2,76081215-3,No Rescatable
229,22/12/2017,22/12/2017,FONDO DE INVERSIÓN INDEPENDENCIA ONE UNION CENTER,9563-K,76800115-4,No Rescatable
230,21/07/1992,05/06/1992,FONDO DE INVERSIÓN INMOBILIARIA CREDICORP CAPITAL RAÍCES,7007-6,99549940-1,No Rescatable
231,26/04/2018,17/03/2018,FONDO DE INVERSIÓN INMOBILIARIO IX,9589-3,96767630-6,No Rescatable
232,,15/05/2019,FONDO DE INVERSIÓN INMOBILIARIO X,9749-7,96767630-6,No Rescatable
233,06/06/2018,05/04/2018,FONDO DE INVERSIÓN LARRAINVIAL DESARROLLO INMOBILIARIO I,9602-4,96955500-K,No Rescatable
